MeoDemoSat.UTCGregorian,MeoDemoSat.ElapsedSecs,MeoDemoSat.Earth.Latitude,MeoDemoSat.Earth.Longitude,MeoDemoSat.Earth.Altitude
09 Jan 2026 23:49:56.322,776996.3224056526,-49.01335472897234,86.97278904173096,931.406710547697
09 Jan 2026 23:52:58.125,777178.1249987427,-55.10799382296106,100.2863887560152,919.7801019545122
09 Jan 2026 23:55:59.470,777359.4696652028,-59.07477457246542,117.6096792296427,908.7000656583923
09 Jan 2026 23:59:00.367,777540.3673075838,-60.04411135577439,137.685781588341,898.4201761635859
10 Jan 2026 00:02:00.846,777720.8460403606,-57.73957192727852,156.9636579445971,889.2544756223315
10 Jan 2026 00:05:00.955,777900.9553779499,-52.76402959948147,172.6411413527654,881.5707521458144
10 Jan 2026 00:08:00.749,778080.748534645,-46.01966302952677,-175.5442662523431,875.7703304398665
10 Jan 2026 00:11:00.278,778260.2778836153,-38.2040178117066,-166.6447646542834,872.2550978935078
10 Jan 2026 00:13:59.620,778439.6199728013,-29.75037752820823,-159.6863884709952,871.3861265201267
10 Jan 2026 00:16:58.889,778618.8893783139,-20.91713343402571,-153.9557912018525,873.4399410805427
10 Jan 2026 00:19:58.210,778798.2102712383,-11.86647977401839,-148.9597844687482,878.5658258500789
10 Jan 2026 00:22:57.686,778977.6859482634,-2.712113912401935,-144.3413807680581,886.7490216195529
10 Jan 2026 00:25:57.413,779157.4134721421,6.455091215721917,-139.8115683241375,897.7901570746626
10 Jan 2026 00:28:57.512,779337.5123862061,15.55139529265272,-135.0964923861442,911.3063155974714
10 Jan 2026 00:31:58.108,779518.1084626936,24.48410120079742,-129.8896615813338,926.7472843890446
10 Jan 2026 00:34:59.287,779699.2865262553,33.12968099202521,-123.7973043627017,943.4225506953999
10 Jan 2026 00:38:01.079,779881.0789607931,41.30186412450615,-116.2667562026558,960.5451252840248
10 Jan 2026 00:41:03.501,780063.5008505895,48.69888641653109,-106.5082278681089,977.2926453243936
10 Jan 2026 00:44:06.570,780246.5697275475,54.81971489279425,-93.52133538630257,992.8707305402659
10 Jan 2026 00:47:10.276,780430.2764508873,58.89847271970162,-76.62474880686075,1006.565736162685
10 Jan 2026 00:50:14.553,780614.5534855197,60.08673793359186,-56.8835169189819,1017.788798550347
10 Jan 2026 00:53:19.291,780799.2912690737,58.06105192823829,-37.65040416685177,1026.114123679485
10 Jan 2026 00:56:24.381,780984.3812786392,53.35245670847755,-21.80927824039274,1031.303837598171
10 Jan 2026 00:59:29.729,781169.7291329387,46.83231061179439,-9.797620634496736,1033.311187427327
10 Jan 2026 01:02:35.231,781355.2314541885,39.19759547820109,-0.7444036327533218,1032.26394614274
10 Jan 2026 01:05:40.762,781540.7619760372,30.88796495653275,6.313864031848397,1028.434321039615
10 Jan 2026 01:08:46.193,781726.1926772771,22.16750002315618,12.09843324256137,1022.199046992843
10 Jan 2026 01:11:51.423,781911.4225428784,13.20070900564709,17.11205217772813,1013.993360194535
10 Jan 2026 01:14:56.379,782096.379021497,4.099801637945785,21.71873841937755,1004.265536606632
10 Jan 2026 01:18:00.999,782280.9989939444,-5.04681419337515,26.21045035836086,993.4385003599673
10 Jan 2026 01:21:05.222,782465.2215111069,-14.15623485505017,30.85911045183944,981.8822068976933
10 Jan 2026 01:24:09.001,782649.0009190631,-23.13637254131148,35.96432623019287,969.8992647763016
