TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.Earth.Latitude,TargetSat.Earth.Longitude,TargetSat.Earth.Altitude
01 Jan 2026 02:41:25.881,9685.881431226153,-16.83533122945423,-126.4203026320165,301.7804577658626
01 Jan 2026 02:42:55.051,9775.051040668041,-15.13278759978266,-120.9047404027318,301.4463843937283
01 Jan 2026 02:44:24.219,9864.219424570911,-13.28000854626829,-115.4859483027733,301.1197462801656
01 Jan 2026 02:45:53.388,9953.388053330127,-11.29808499149767,-110.1567033360131,300.8143983423015
01 Jan 2026 02:47:22.557,10042.5567770144,-9.208378822170262,-104.9067587022215,300.5433035520764
01 Jan 2026 02:48:51.726,10131.72587065492,-7.032278461032634,-99.72334040710129,300.3179740441446
01 Jan 2026 02:50:20.896,10220.89585979702,-4.791085204120633,-94.59174757320957,300.147981916909
01 Jan 2026 02:51:50.065,10310.06483871024,-2.506037892811219,-89.49604229482243,300.0405540318961
01 Jan 2026 02:53:19.233,10399.23346904106,-0.1981955558548759,-84.41924624745474,300.0002538339977
01 Jan 2026 02:54:48.403,10488.40265980689,2.111460311175473,-79.34391633547173,300.0287940739436
01 Jan 2026 02:56:17.572,10577.57200301858,4.401919707893244,-74.25264903280795,300.1249623347885
01 Jan 2026 02:57:46.740,10666.7398846359,6.652082901630946,-69.12848963490745,300.2846682309728
01 Jan 2026 02:59:15.909,10755.90901253745,8.840849597303034,-63.95504949113759,300.5011298096088
01 Jan 2026 03:00:00.000,10799.99999968568,9.893882972790655,-61.37412895375536,300.6263901795974
01 Jan 2026 03:01:00.000,10859.99999956694,11.28973604676107,-57.83375527083822,300.8132104005499
01 Jan 2026 03:02:25.296,10945.29646126321,13.18858308730742,-52.73806116877506,301.1046477136042
01 Jan 2026 03:03:54.022,11034.0216891258,15.0390885879312,-47.35085542857514,301.4289309858641
01 Jan 2026 03:05:23.141,11123.14083930105,16.74911316095892,-41.84363393342964,301.7627774446637
01 Jan 2026 03:06:52.304,11212.30430753203,18.29028402948243,-36.23369936641501,302.090800369132
01 Jan 2026 03:08:21.472,11301.4719471219,19.64208592635598,-30.52414785050052,302.3989425608306
01 Jan 2026 03:09:50.641,11390.64083142439,20.78619075871688,-24.72046555795571,302.6741332278134
01 Jan 2026 03:11:19.810,11479.81035379926,21.7063056338087,-18.83280889461717,302.9047111979871
01 Jan 2026 03:12:48.980,11568.97977653425,22.38873034200528,-12.8759803669311,303.0809091114525
01 Jan 2026 03:14:18.149,11658.14894749783,22.82293888614002,-6.868811868104793,303.195266957584
01 Jan 2026 03:15:47.318,11747.31828253716,23.00206140573748,-0.8332000415915677,303.2429444790796
01 Jan 2026 03:17:16.487,11836.48696504533,22.92322239037053,5.207069296395128,303.22192379218
01 Jan 2026 03:18:45.656,11925.65645190189,22.58768875820982,11.22806187042363,303.1330941029673
01 Jan 2026 03:20:14.826,12014.82569924556,22.0008097623152,17.20691060677852,302.9802158520069
01 Jan 2026 03:21:43.994,12103.99444933282,21.17174559669762,23.12343484298776,302.7697623777285
01 Jan 2026 03:23:13.163,12193.16345087718,20.11301432569904,28.96125757248997,302.5106438730636
01 Jan 2026 03:24:42.333,12282.33254640363,18.83995901311818,34.70840266330488,302.2138363494569
01 Jan 2026 03:26:11.502,12371.50173559785,17.37014251481558,40.35769092730862,301.8919165833131
01 Jan 2026 03:27:40.671,12460.67075600149,15.72276821724714,45.90667847908361,301.5585320379187
01 Jan 2026 03:29:09.840,12549.83958278317,13.91814439686781,51.35737271213672,301.227821393225
01 Jan 2026 03:30:39.009,12639.00854535168,11.9772399748815,56.71573593362818,300.9138146887553
01 Jan 2026 03:31:12.745,12672.7446471923,11.21178619734284,58.72076156104495,300.8021594120828
01 Jan 2026 03:32:12.745,12732.74464707356,9.367431142819193,63.4363836555737,312.2357451958096
01 Jan 2026 03:33:34.756,12814.75586771267,6.762785749627576,69.73750015763446,365.3106870261527
01 Jan 2026 03:35:00.680,12900.68029824179,4.002923675925488,76.10905220244277,465.7751264443559
01 Jan 2026 03:36:28.427,12988.42697547516,1.231208268275879,82.32758356101284,612.7678059637328
