TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.EarthMJ2000Eq.X,TargetSat.EarthMJ2000Eq.Y,TargetSat.EarthMJ2000Eq.Z,TargetSat.EarthMJ2000Eq.VX,TargetSat.EarthMJ2000Eq.VY,TargetSat.EarthMJ2000Eq.VZ,TargetSat.Earth.SMA,TargetSat.Earth.ECC,TargetSat.EarthMJ2000Eq.INC,TargetSat.EarthMJ2000Eq.RAAN,TargetSat.EarthMJ2000Eq.AOP,TargetSat.Earth.TA
02 Jan 2026 21:47:08.535,164828.5348735051,-27250.87582014381,-31038.0887932419,8476.085033871481,2.306722316264799,-2.03268952973393,-0.02720533650310658,42164.16967811087,5.300831724428345e-10,11.60833458607549,136.144628040047,251.4667048210678,201.053568501418
02 Jan 2026 21:52:08.535,165128.53487354,-26552.39379270096,-31640.42028968475,8465.895945361997,2.349638823126899,-1.982693633861431,-0.040719211183676,42164.16967811087,5.300830848300982e-10,11.60833458607549,136.144628040047,251.4666912421169,202.3070044633905
02 Jan 2026 21:57:08.535,165428.534873575,-25841.20497131827,-32227.61008915182,8451.65545583257,2.39143089742082,-1.931748909056005,-0.05421359946218278,42164.16967811088,5.300828731080309e-10,11.60833458607552,136.144628040047,251.4667088572329,203.5604092313071
02 Jan 2026 22:02:08.535,165728.5348736099,-25117.64969931364,-32799.3771887381,8433.370380147651,2.432078539319783,-1.879879735195559,-0.0676820435249811,42164.16967811088,5.300828441638067e-10,11.60833458607552,136.144628040047,251.466704377953,204.8138360936312
02 Jan 2026 22:07:08.535,166028.5348733305,-24382.07423803785,-33355.44796615631,8411.049468730613,2.471562296671415,-1.827110934558175,-0.0811180979741716,42164.16967811088,5.300827015994236e-10,11.60833458607552,136.144628040047,251.4666966484209,206.0672662062196
02 Jan 2026 22:12:08.535,166328.5348733654,-23634.83060116929,-33895.55631068037,8384.703403376199,2.509863274306687,-1.773467759943269,-0.09451533291208208,42164.16967811085,5.300833710842245e-10,11.60833458607552,136.144628040047,251.4667267285722,207.3206585091374
02 Jan 2026 22:17:08.535,166628.5348734003,-22876.27638625591,-34419.44375049417,8354.344792138683,2.546963143082297,-1.718975882586731,-0.1078673370183303,42164.16967811083,5.30083878042511e-10,11.60833458607552,136.144628040047,251.4667229264132,208.5740846943789
02 Jan 2026 22:22:08.535,166928.5348734353,-22106.77460358492,-34926.85957638464,8319.988163298209,2.582844148652186,-1.66366137987581,-0.1211677206179964,42164.16967811083,5.30083869478792e-10,11.60833458607552,136.144628040047,251.4666796153348,209.8275503885536
02 Jan 2026 22:27:08.535,167228.5348734702,-21326.69350246223,-35417.56096172003,8281.64995840821,2.61748911996397,-1.607550722869638,-0.1344101187394373,42164.16967811082,5.300840081712204e-10,11.60833458607552,136.144628040047,251.4666988043608,211.0809535826384
02 Jan 2026 22:32:08.535,167528.5348735051,-20536.40639498475,-35891.31307865596,8239.348524427218,2.650881477476254,-1.550670763631358,-0.1475881941602782,42164.16967811082,5.300839533641935e-10,11.60833458607552,136.144628040047,251.4666824120738,212.3343923580513
