TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.EarthFixed.X,TargetSat.EarthFixed.Y,TargetSat.EarthFixed.Z,TargetSat.EarthFixed.VX,TargetSat.EarthFixed.VY,TargetSat.EarthFixed.VZ,TargetSat.Earth.SMA,TargetSat.Earth.ECC,TargetSat.EarthMJ2000Eq.INC,TargetSat.EarthMJ2000Eq.RAAN,TargetSat.EarthMJ2000Eq.AOP,TargetSat.Earth.TA
02 Jan 2026 03:27:08.535,98828.53487336542,-39551.03717912074,14602.38586896091,550.4444903544678,0.01372799704525551,0.06025346920281072,-0.6120289291632089,42164.16967811101,5.300810627424572e-10,11.60833458607545,136.144628040047,251.4669356967279,285.3004130525989
02 Jan 2026 03:32:08.535,99128.53487340035,-39546.52472305397,14620.36606020134,366.7188325248101,0.01635023628459242,0.05959534431707558,-0.6127604362928712,42164.16967811104,5.300813385267822e-10,11.60833458607545,136.1446280400469,251.4668673534479,286.5539037804998
02 Jan 2026 03:37:08.535,99428.53487343527,-39541.23016509462,14638.13166994458,182.8177029700864,0.01894118057871741,0.05882315539729177,-0.613198703910417,42164.16967811103,5.300812856685512e-10,11.60833458607545,136.144628040047,251.4668809673969,287.8073125511997
02 Jan 2026 03:42:08.535,99728.5348734702,-39535.16363920625,14655.64869527185,-1.170891519778053,0.02149587088369898,0.05793838041075539,-0.6133435222813018,42164.16967811102,5.300811553148605e-10,11.60833458607545,136.1446280400469,251.4669161790764,289.0606997241966
02 Jan 2026 03:47:08.535,100028.5348735051,-39528.33675689453,14672.88360904721,-185.1589022981832,0.02400941754578434,0.0569427128127824,-0.6131948221023921,42164.16967811103,5.300814044043741e-10,11.60833458607545,136.1446280400469,251.4669042449692,290.3141340430078
02 Jan 2026 03:52:08.535,100328.53487354,-39520.76258497905,14689.80342409811,-369.0582809979322,0.02647700966016986,0.0558380583054463,-0.6127526745351344,42164.16967811101,5.300813098415921e-10,11.60833458607545,136.1446280400469,251.466929267335,291.5675314053733
02 Jan 2026 03:57:08.535,100628.534873575,-39512.45562058387,14706.37575635126,-552.7810216671407,0.02889392427902893,0.05462653119006644,-0.6120172911715098,42164.16967811104,5.300815177089061e-10,11.60833458607545,136.1446280400469,251.46689614018,292.8209869172865
02 Jan 2026 04:02:08.535,100928.5348736099,-39503.43176339128,14722.56888681182,-736.2392028848918,0.03125553545118187,0.05331045032045356,-0.6109890239327794,42164.16967811106,5.300818664795333e-10,11.60833458607545,136.1446280400469,251.4668344207344,294.0744710215172
02 Jan 2026 04:07:08.535,101228.5348733305,-39493.70828555038,14738.35182136053,-919.3450298364244,0.03355732307492998,0.05189233466541232,-0.6096683649010772,42164.16967811105,5.300817971808245e-10,11.60833458607545,136.1446280400469,251.4668707645733,295.3278570624898
02 Jan 2026 04:12:08.535,101528.5348733654,-39483.3037972587,14753.69435372023,-1102.010876327703,0.03579488155430122,0.05037489848441101,-0.6080559460839323,42164.16967811108,5.300822745772359e-10,11.60833458607545,136.1446280400469,251.4668341407862,296.5813160711148
02 Jan 2026 04:17:08.535,101828.5348734003,-39472.23821317875,14768.56711780984,-1284.149326719363,0.03796392822404537,0.04876104613699317,-0.6061525391118224,42164.16967811109,5.300822566675065e-10,11.60833458607545,136.1446280400469,251.4667916396128,297.8347809571522
02 Jan 2026 04:22:08.535,102128.5348734353,-39460.53271296202,14782.9416475965,-1465.673217759832,0.04006031155150991,0.04705386652090082,-0.6039590548689162,42164.1696781111,5.300822393384924e-10,11.60833458607545,136.1446280400469,251.4667863217864,299.0882086598681
02 Jan 2026 04:27:08.535,102428.5348734702,-39448.20970105624,14796.7904306539,-1646.49568029771,0.04208001908137682,0.04525662716070045,-0.6014765430571721,42164.16967811107,5.300822448363484e-10,11.60833458607545,136.1446280400469,251.4668453335606,300.3415720330089
02 Jan 2026 04:32:08.535,102728.5348735051,-39435.29276381647,14810.08696083852,-1826.530180853398,0.04401918511548875,0.04337276795373146,-0.5987061916940075,42164.16967811104,5.300821408734613e-10,11.60833458607545,136.1446280400469,251.4668755689968,301.5949641825127
02 Jan 2026 04:37:08.535,103028.53487354,-39421.80662436775,14822.80578900396,-2005.690563030076,0.04587409811172849,0.04140589458621058,-0.5956493265437763,42164.16967811104,5.300821368927125e-10,11.60833458607545,136.1446280400469,251.4668819403493,302.848380196125
02 Jan 2026 04:42:08.535,103328.534873575,-39407.77709527871,14834.92257172713,-2183.891088744261,0.04764120778790248,0.03935977163193316,-0.5923074104833259,42164.16967811103,5.300820390973531e-10,11.60833458607545,136.1446280400469,251.4668994250877,304.1017850963759
02 Jan 2026 04:47:08.535,103628.5348736099,-39393.23102916,14846.41411789194,-2361.046479256162,0.04931713191692455,0.03723831534694133,-0.5886820428019393,42164.16967811101,5.300819022865642e-10,11.60833458607545,136.1446280400469,251.4669411855432,305.3551657209338
02 Jan 2026 04:52:08.535,103928.5348733305,-39378.19626761334,14857.25843216239,-2537.071955980217,0.05089866279955091,0.03504558617501408,-0.5847749584359969,42164.16967811101,5.300817936922898e-10,11.60833458607545,136.1446280400469,251.4669560612008,306.6085732303133
02 Jan 2026 04:57:08.535,104228.5348733654,-39362.70158656767,14867.4347607273,-2711.883281056272,0.05238277340718178,0.03278578097134011,-0.5805880271387246,42164.16967811104,5.300820041401562e-10,11.60833458607545,136.1446280400469,251.4668928616053,307.862058814969
02 Jan 2026 05:02:08.535,104528.5348734003,-39346.77664326083,14876.9236255634,-2885.396797662032,0.05376662317054737,0.03046322497672271,-0.576123252585422,42164.16967811104,5.300820653622236e-10,11.60833458607549,136.1446280400469,251.466878455774,309.1154956058837
02 Jan 2026 05:07:08.535,104828.5348734353,-39330.45191810252,14885.70686535819,-3057.529470047413,0.05504756341991679,0.02808236353450599,-0.5713827714146051,42164.16967811101,5.300816291394426e-10,11.60833458607549,136.1446280400469,251.4669325613372,310.3688638854264
02 Jan 2026 05:12:08.535,105128.5348734702,-39313.75865668087,14893.76766935327,-3228.198923271707,0.0562231424537547,0.02564775358338034,-0.5663688522055179,42164.16967811101,5.30081578574732e-10,11.60833458607549,136.1446280400469,251.466930905073,311.6222879268186
02 Jan 2026 05:17:08.535,105428.5348735051,-39296.72880995531,14901.09060952763,-3397.323482624513,0.05729111023126054,0.02316405493542772,-0.5610838943925001,42164.169678111,5.300813115261032e-10,11.60833458607549,136.1446280400469,251.466943135121,312.8756980819204
02 Jan 2026 05:22:08.535,105728.53487354,-39279.39497310737,14907.66167011424,-3564.822212711549,0.05824942267890454,0.0206360213573058,-0.5555304271167381,42164.16967811102,5.300814527674397e-10,11.60833458607549,136.1446280400469,251.4669248327927,314.1291387694197
02 Jan 2026 05:27:08.535,106028.534873575,-39261.79032314797,14913.46827444145,-3730.614956186711,0.05909624560277038,0.01806849147156164,-0.5497111080159414,42164.16967811107,5.300818965857826e-10,11.60833458607549,136.144628040047,251.466853208096,315.3826327793083
02 Jan 2026 05:32:08.535,106328.5348736099,-39243.94855542071,14918.49930899334,-3894.622372111745,0.05982995819917125,0.0154663794955594,-0.5436287219525291,42164.16967811106,5.300819912925134e-10,11.60833458607549,136.1446280400469,251.466860029211,316.6360483434056
02 Jan 2026 05:37:08.535,106628.5348733305,-39225.90381945219,14922.74514377973,-4056.76597392526,0.06044915615655233,0.01283466583712167,-0.5372861796809264,42164.16967811104,5.300817940640285e-10,11.60833458607549,136.144628040047,251.4668790078483,317.8894517500007
02 Jan 2026 05:42:08.535,106928.5348733654,-39207.69065221485,14926.19765438305,-4216.968167002859,0.0609526543445631,0.01017838755650313,-0.5306865164546227,42164.16967811104,5.300816065522041e-10,11.60833458607549,136.144628040047,251.4668832503532,319.1428698927475
02 Jan 2026 05:47:08.535,107228.5348734003,-39189.34391408727,14928.85023208103,-4375.152285790455,0.06133948908042242,0.007502628733836669,-0.5238328905736442,42164.16967811108,5.300819243614102e-10,11.60833458607549,136.144628040047,251.4668548252586,320.396320703113
02 Jan 2026 05:52:08.535,107528.5348734353,-39170.89872075211,14930.69780012383,-4531.242630492941,0.06160891997475693,0.004812510732701725,-0.516728581873145,42164.16967811109,5.300821102687949e-10,11.60833458607549,136.144628040047,251.4668361743112,321.6497617393496
02 Jan 2026 05:57:08.535,107828.5348734702,-39152.39037633344,14931.73682253387,-4685.164503300744,0.06176043134833065,0.002113182399288593,-0.5093769901538345,42164.16967811108,5.300820071913526e-10,11.60833458607549,136.144628040047,251.4668525674099,322.9031677315583
